date_id,line_code,sku,defect_code,units_scrapped
2025-01-01,L1,SKU-100,D-02,1
2025-01-01,L1,SKU-100,D-04,1
2025-01-01,L1,SKU-200,D-02,2
2025-01-01,L1,SKU-300,D-03,2
2025-01-01,L1,SKU-400,D-01,1
2025-01-01,L1,SKU-400,D-02,1
2025-01-01,L2,SKU-100,D-01,2
2025-01-01,L2,SKU-200,D-01,1
2025-01-01,L2,SKU-200,D-05,1
2025-01-01,L2,SKU-300,D-01,2
2025-01-01,L2,SKU-400,D-01,1
2025-01-01,L2,SKU-400,D-02,1
2025-01-01,L3,SKU-100,D-01,2
2025-01-01,L3,SKU-200,D-01,1
2025-01-01,L3,SKU-200,D-03,1
2025-01-01,L3,SKU-200,D-05,1
2025-01-01,L3,SKU-300,D-03,2
2025-01-01,L3,SKU-400,D-01,1
2025-01-01,L3,SKU-400,D-02,1
2025-01-01,L4,SKU-100,D-02,1
2025-01-01,L4,SKU-100,D-04,1
2025-01-01,L4,SKU-100,D-05,1
2025-01-01,L4,SKU-200,D-01,1
2025-01-01,L4,SKU-200,D-03,1
2025-01-01,L4,SKU-300,D-02,1
2025-01-01,L4,SKU-300,D-03,1
2025-01-01,L4,SKU-400,D-01,1
2025-01-01,L4,SKU-400,D-04,1
2025-01-02,L1,SKU-100,D-01,3
2025-01-02,L1,SKU-200,D-01,1
2025-01-02,L1,SKU-200,D-04,1
2025-01-02,L1,SKU-300,D-01,1
2025-01-02,L1,SKU-300,D-02,1
2025-01-02,L1,SKU-400,D-02,1
2025-01-02,L1,SKU-400,D-05,1
2025-01-02,L2,SKU-100,D-04,2
2025-01-02,L2,SKU-200,D-01,1
2025-01-02,L2,SKU-200,D-02,1
2025-01-02,L2,SKU-300,D-01,1
2025-01-02,L2,SKU-300,D-04,1
2025-01-02,L2,SKU-400,D-01,1
2025-01-02,L2,SKU-400,D-05,1
2025-01-02,L3,SKU-100,D-01,2
2025-01-02,L3,SKU-200,D-01,1
2025-01-02,L3,SKU-200,D-02,1
2025-01-02,L3,SKU-300,D-01,1
2025-01-02,L3,SKU-300,D-02,1
2025-01-02,L3,SKU-400,D-03,1
2025-01-02,L3,SKU-400,D-04,1
2025-01-02,L4,SKU-100,D-04,1
2025-01-02,L4,SKU-200,D-01,1
2025-01-02,L4,SKU-200,D-04,1
2025-01-02,L4,SKU-300,D-01,1
2025-01-02,L4,SKU-300,D-03,1
2025-01-02,L4,SKU-400,D-01,1
2025-01-02,L4,SKU-400,D-05,1
2025-01-03,L1,SKU-100,D-01,1
2025-01-03,L1,SKU-100,D-04,1
2025-01-03,L1,SKU-200,D-02,2
2025-01-03,L1,SKU-300,D-01,1
2025-01-03,L1,SKU-300,D-03,1
2025-01-03,L1,SKU-400,D-04,1
2025-01-03,L1,SKU-400,D-05,1
2025-01-03,L2,SKU-100,D-01,1
2025-01-03,L2,SKU-100,D-04,1
2025-01-03,L2,SKU-200,D-01,1
2025-01-03,L2,SKU-200,D-05,1
2025-01-03,L2,SKU-300,D-03,2
2025-01-03,L2,SKU-400,D-01,1
2025-01-03,L2,SKU-400,D-05,1
2025-01-03,L3,SKU-100,D-01,2
2025-01-03,L3,SKU-200,D-02,1
2025-01-03,L3,SKU-200,D-03,1
2025-01-03,L3,SKU-300,D-01,1
2025-01-03,L3,SKU-300,D-02,2
2025-01-03,L3,SKU-400,D-01,1
2025-01-03,L3,SKU-400,D-03,1
2025-01-03,L4,SKU-100,D-01,1
2025-01-03,L4,SKU-100,D-03,1
2025-01-03,L4,SKU-200,D-03,1
2025-01-03,L4,SKU-200,D-04,1
2025-01-03,L4,SKU-300,D-01,1
2025-01-03,L4,SKU-300,D-04,1
2025-01-03,L4,SKU-400,D-01,1
2025-01-03,L4,SKU-400,D-05,1
2025-01-04,L1,SKU-100,D-01,1
2025-01-04,L1,SKU-200,D-01,2
2025-01-04,L1,SKU-300,D-01,1
2025-01-04,L1,SKU-300,D-04,1
2025-01-04,L1,SKU-400,D-01,1
2025-01-04,L1,SKU-400,D-02,1
2025-01-04,L2,SKU-100,D-03,1
2025-01-04,L2,SKU-100,D-04,1
2025-01-04,L2,SKU-200,D-01,1
2025-01-04,L2,SKU-200,D-02,1
2025-01-04,L2,SKU-300,D-01,2
2025-01-04,L2,SKU-400,D-03,1
2025-01-04,L2,SKU-400,D-04,1
2025-01-04,L3,SKU-100,D-01,2
2025-01-04,L3,SKU-200,D-01,2
2025-01-04,L3,SKU-300,D-02,1
2025-01-04,L3,SKU-400,D-01,1
2025-01-04,L3,SKU-400,D-03,1
2025-01-04,L4,SKU-100,D-02,1
2025-01-04,L4,SKU-200,D-02,1
2025-01-04,L4,SKU-200,D-05,1
2025-01-04,L4,SKU-300,D-04,2
